# Standard Gibbs free energy of formation fitting constants.
# These parameters result from a linear fit in temperature space to the delta-f G column in the
# JANAF data tables for a given molecule.
# G = aT + b
# where a = -S (standard entropy of formation) and b = H (standard enthalpy of formation).
# G has units of kJ/mol.
species,a,b
C,0,0
CH4,0.11162272058823527,-92.46793382352928
CO,-0.08269582352941174,-120.3571470588237
CO2,0.0005482647058825124,-397.33434558823564
H2,0,0
H2O,0.05817258823529415,-251.80119852941178
N2,0,0
NH3,0.11667370588235293,-54.026338235293984
O2,0,0
SO,-0.004834249999999983,-59.61862500000004
SO2,0.0725481764705883,-361.0377720588236
S2,0,0
H2S,0.04955845588235296,-90.57971323529412
S,-0.06120597058823535,217.87218382352947
Cl,-0.06116926470588236,127.34372058823527
Cl2,0,0
HCl,-0.005433338235294086,-95.73480147058832
F,-0.06466483823529413,84.63857352941173
F2,0,0
HF,-0.0015432205882352377,-277.91656617647067
