V (cm^3/mol),P (GPa),T (K)
28.4,0.0001,20.35
14,0.967,266
13,1.573,431
12,2.563,722
11,4.166,1222
10,6.688,2014
9,10.72,3246
8.86,11.454,3462
404.5,0.0101325,473.15
404.2,0.0101325,473.15
274.6,0.01519875,473.15
210.4,0.020265,473.15
210.2,0.020265,473.15
145.4,0.0303975,473.15
145.6,0.0303975,473.15
113.3,0.04053,473.15
93.9,0.0506625,473.15
80.9,0.060795,473.15
80.8,0.060795,473.15
71.5,0.0709275,473.15
64.6,0.08106,473.15
59.15,0.0911925,473.15
54.72,0.101325,473.15
51.15,0.1114575,473.15
51.2,0.1114575,473.15
48.16,0.12159,473.15
45.63,0.1317225,473.15
43.48,0.141855,473.15
41.55,0.1519875,473.15
39.86,0.16212,473.15
39.88,0.16212,473.15
38.4,0.1722525,473.15
36.99,0.182385,473.15
36.98,0.182385,473.15
486.1,0.0101325,573.15
329.5,0.01519875,573.15
329.3,0.01519875,573.15
251.4,0.020265,573.15
250.7,0.020265,573.15
172.7,0.0303975,573.15
172.7,0.0303975,573.15
133.4,0.04053,573.15
133.5,0.04053,573.15
109.9,0.0506625,573.15
94.3,0.060795,573.15
94.2,0.060795,573.15
83.1,0.0709275,573.15
83,0.0709275,573.15
74.7,0.08106,573.15
68.1,0.0911925,573.15
62.9,0.101325,573.15
58.47,0.1114575,573.15
58.55,0.1114575,573.15
54.9,0.12159,573.15
51.87,0.1317225,573.15
49.22,0.141855,573.15
46.94,0.1519875,573.15
44.85,0.16212,573.15
44.92,0.16212,573.15
43.11,0.1722525,573.15
41.44,0.182385,573.15
567.4,0.0101325,673.15
291.1,0.020265,673.15
199.3,0.0303975,673.15
153.2,0.04053,673.15
153.3,0.04053,673.15
125.6,0.0506625,673.15
107.5,0.060795,673.15
94.4,0.0709275,673.15
84.7,0.08106,673.15
76.9,0.0911925,673.15
70.7,0.101325,673.15
65.6,0.1114575,673.15
61.4,0.12159,673.15
57.87,0.1317225,673.15
54.78,0.141855,673.15
52.08,0.1519875,673.15
49.76,0.16212,673.15
47.65,0.1722525,673.15
45.73,0.182385,673.15
649,0.0101325,773.15
331.8,0.020265,773.15
226.2,0.0303975,773.15
174,0.04053,773.15
142.2,0.0506625,773.15
121.1,0.060795,773.15
106,0.0709275,773.15
94.8,0.08106,773.15
85.8,0.0911925,773.15
78.7,0.101325,773.15
72.9,0.1114575,773.15
68.1,0.12159,773.15
64,0.1317225,773.15
60.5,0.141855,773.15
57.4,0.1519875,773.15
54.72,0.16212,773.15
52.34,0.1722525,773.15
50.1,0.182385,773.15
372.6,0.020265,873.15
253.3,0.0303975,873.15
253.2,0.0303975,873.15
193.6,0.04053,873.15
158.3,0.0506625,873.15
134.7,0.060795,873.15
117.4,0.0709275,873.15
104.8,0.08106,873.15
94.7,0.0911925,873.15
86.6,0.101325,873.15
80.1,0.1114575,873.15
74.7,0.12159,873.15
70,0.1317225,873.15
66.1,0.141855,873.15
62.6,0.1519875,873.15
59.57,0.16212,873.15
56.85,0.1722525,873.15
54.35,0.182385,873.15
