V (cm^3/mol),P (GPa),P_kbar,T (K)
8.86,11.454,114.54,3462
9,10.72,107.2,3246
10,6.688,66.88,2014
11,4.166,41.66,1222
12,2.563,25.63,722
13,1.573,15.73,431
14,0.967,9.67,266
36.99,0.182385,1.82385,473.15
36.98,0.182385,1.82385,473.15
41.44,0.182385,1.82385,573.15
45.73,0.182385,1.82385,673.15
50.1,0.182385,1.82385,773.15
54.35,0.182385,1.82385,873.15
38.4,0.1722525,1.722525,473.15
43.11,0.1722525,1.722525,573.15
47.65,0.1722525,1.722525,673.15
52.34,0.1722525,1.722525,773.15
56.85,0.1722525,1.722525,873.15
39.86,0.16212,1.6212,473.15
39.88,0.16212,1.6212,473.15
44.85,0.16212,1.6212,573.15
44.92,0.16212,1.6212,573.15
49.76,0.16212,1.6212,673.15
54.72,0.16212,1.6212,773.15
59.57,0.16212,1.6212,873.15
41.55,0.1519875,1.519875,473.15
46.94,0.1519875,1.519875,573.15
52.08,0.1519875,1.519875,673.15
57.4,0.1519875,1.519875,773.15
62.6,0.1519875,1.519875,873.15
43.48,0.141855,1.41855,473.15
49.22,0.141855,1.41855,573.15
54.78,0.141855,1.41855,673.15
60.5,0.141855,1.41855,773.15
66.1,0.141855,1.41855,873.15
45.63,0.1317225,1.317225,473.15
51.87,0.1317225,1.317225,573.15
57.87,0.1317225,1.317225,673.15
64,0.1317225,1.317225,773.15
70,0.1317225,1.317225,873.15
48.16,0.12159,1.2159,473.15
54.9,0.12159,1.2159,573.15
61.4,0.12159,1.2159,673.15
68.1,0.12159,1.2159,773.15
74.7,0.12159,1.2159,873.15
51.15,0.1114575,1.114575,473.15
51.2,0.1114575,1.114575,473.15
58.47,0.1114575,1.114575,573.15
58.55,0.1114575,1.114575,573.15
65.6,0.1114575,1.114575,673.15
72.9,0.1114575,1.114575,773.15
80.1,0.1114575,1.114575,873.15
54.72,0.101325,1.01325,473.15
62.9,0.101325,1.01325,573.15
70.7,0.101325,1.01325,673.15
78.7,0.101325,1.01325,773.15
86.6,0.101325,1.01325,873.15
