logT: 3.30,,1995,,,,,,,,,,,,,,
logP,P_Gpa,P_bar,XH2,XH,log_rho,rho,Vm,log_S,log_U,dlogrho_dlogT_P,dlogrho_dlogP_T,dlogS_dlogT_P,dlogS_dlogP_T,dlogT_dlogP_S,lnphi,phi
8,0.01,100,0.999842,0.000157522,-2.9187,0.001205869,1671.823893,8.9044,11.348,-0.9918,0.9926,0.2154,-0.0514,0.2385,0.008431966,1.008467616
8.2,0.015848932,158.4893192,0.999875,0.000125321,-2.7206,0.00190283,1059.474547,8.894,11.3481,-0.9863,0.9883,0.2202,-0.0525,0.2386,0.012853432,1.012936392
8.4,0.025118864,251.1886432,0.9999,9.97818E-05,-2.5235,0.002995712,672.9619784,8.8834,11.3483,-0.9778,0.9817,0.2254,-0.0537,0.2385,0.019639389,1.01983351
8.6,0.039810717,398.1071706,0.99992,7.95707E-05,-2.3281,0.004697859,429.1316315,8.8725,11.3487,-0.9648,0.9714,0.2308,-0.055,0.2382,0.030496697,1.030966484
8.8,0.063095734,630.9573445,0.999936,6.35776E-05,-2.1353,0.007323185,275.2900583,8.8614,11.3494,-0.9453,0.9559,0.2364,-0.0562,0.2375,0.047723304,1.048880395
9,0.1,1000,0.999949,5.09661E-05,-1.9463,0.011316184,178.1519284,8.8501,11.3504,-0.9162,0.9328,0.2423,-0.0573,0.2365,0.074599425,1.077452464
9.2,0.158489319,1584.893192,0.999959,4.10711E-05,-1.7628,0.017266329,116.7590433,8.8385,11.3521,-0.8743,0.9,0.2484,-0.0583,0.2349,0.116211786,1.123233732
9.4,0.251188643,2511.886432,0.999967,3.33423E-05,-1.5871,0.02587617,77.90951984,8.8267,11.3548,-0.8169,0.8551,0.2546,-0.0592,0.2326,0.180447302,1.197753001
9.6,0.398107171,3981.071706,0.999973,2.71475E-05,-1.4215,0.037887853,53.20966538,8.8148,11.3589,-0.7426,0.7982,0.2609,-0.0599,0.2295,0.277752102,1.320158891
9.8,0.630957344,6309.573445,0.999977,2.26267E-05,-1.2684,0.053901394,37.40162984,8.8028,11.3653,-0.6537,0.7318,0.2674,-0.0604,0.2259,0.42346438,1.527243352
10,1,10000,0.999979,1.90582E-05,-1.1291,0.074284807,27.13879296,8.7907,11.3752,-0.5571,0.6613,0.2741,-0.0609,0.222,0.636992177,1.890785171
10.2,1.584893192,15848.93192,0.999983,1.70324E-05,-1.0038,0.099128834,20.33717041,8.7785,11.3895,-0.4593,0.5929,0.2813,-0.0612,0.2177,0.944225361,2.57082115
10.4,2.511886432,25118.86432,0.999993,7.48718E-06,-0.8914,0.128410341,15.69967014,8.7662,11.4099,-0.3682,0.5322,0.2895,-0.0618,0.2136,1.378737965,3.969888325
10.6,3.981071706,39810.71706,0.999993,7.24435E-06,-0.7902,0.16210634,12.43628104,8.7537,11.4396,-0.2883,0.4813,0.2982,-0.0628,0.2105,1.986390559,7.289176371
10.8,6.309573445,63095.73445,0.999967,1.16922E-05,-0.6982,0.200354915,10.06214399,8.741,11.4804,-0.2212,0.4409,0.307,-0.0639,0.2082,2.829539946,16.93766678
11,10,100000,0.999972,1.39754E-05,-0.613,0.243781082,8.269714716,8.7281,11.5333,-0.1686,0.4133,0.3162,-0.0649,0.2053,3.988231539,53.95937989
11.2,15.84893192,158489.3192,1,0,-0.5321,0.293697331,6.864209465,8.715,11.5988,-0.129,0.3965,0.3282,-0.0663,0.2021,5.562156808,260.383829
11.4,25.11886432,251188.6432,0.999783,0,-0.4539,0.3516414,5.733113342,8.7015,11.677,-0.0996,0.3867,0.3432,-0.0689,0.2007,7.686535602,2178.813196
