# Data from Holland and Powell (1998), https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1525-1314.1998.00140.x
# Digital data obtained from Xiang and Connolly (2021), https://onlinelibrary.wiley.com/doi/full/10.1111/jmg.12626
name of phase component,,DfG,Hf,sd(Hf),S,V,a,b,c,d,e,f,g,a0,K,Tc,Smax,Vmax,v1,v2,k0,k0',v1,v2,v3,v4,d0,d1,d2,d3,d4,d5,d6,Tmin,Tmax,dv,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,Index,?End-member ,DfG,DfH,,
akermanite,ak,-3669802,-3866360,1060,212.5,9.254,385.4,0.003209,-247500,-2889.9,,,,0.0000508,1420000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,akermanite ,-3668890,-3866200,0,-160
almandine,alm,-4939678,-5263520,1320,340,11.511,677.3,0,-3772700,-5044,,,,0.0000403,1690000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,almandine ,-4939800,-5263650,0,130
andalusite,and,-2440974,-2588800,700,92.7,5.153,277.3,-0.006588,-1914100,-2265.6,,,,0.0000411,1334000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,andalusite ,-2440970,-2588770,0,-30
andradite,andr,-5425532,-5768130,1720,318,13.204,638.6,0,-4955100,-3989.2,,,,0.0000393,1590000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,andradite ,-5424330,-5768090,0,-40
clinohumite ,chum,-9040280,-9607320,3130,445,19.785,1070,-0.016533,-7899600,-7373.9,,,,0.000061,1290000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,clinohumite ,-9062780,-9637840,0,30520
clinozoisite ,cz,-6503730,-6898150,1430,301,13.63,567,0.018063,-7034000,-2603,,,,0.000046,1120000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,clinozoisite ,-6502980,-6898110,0,-40
epidote ,ep,-6077160,-6463210,1390,328,13.91,544.6,0.024781,-11230000,-1192.1,,,,0.0000505,1233000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,epidote ,-6076410,-6463200,0,-10
fayalite ,fa,-1378935,-1478150,710,151,4.631,201.1,0.01733,-1960600,-900.9,,,,0.0000505,1330000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,fayalite ,-1378980,-1478220,0,70
FeCchloritoid ,fctd,-2977847,-3215380,820,155,6.98,484.6,-0.013808,-198900,-4762.2,,,,0.0000542,1465000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Fe�Cchloritoid ,-2973740,-3209170,0,-6210
FeCcordierite ,fcrd,-7948950,-8436070,1720,475,23.71,851.5,0.044724,-6645000,-5623.4,,,,0.0000076,810000,1800,20,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Fe�Ccordierite ,-7949440,-8436510,0,440
FeCepidote ,fep,-5625095,-6002180,1380,357,14.19,520.1,0.031499,-15426000,218.8,,,,0.0000505,1294000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Fe�Cepidote ,-5624340,-6002190,0,10
