#p(bar)         	T(K)            	e-              	C               	H               	He              	N               	O               	Si              	SiO2(s,l)       	SiC(s)          	C(s)            	Si(s,l)         
1.3669879408e-06	9.2000000000e+02	0.0000000000e+00	9.9990725005e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9851428107e-01	9.9882575349e-01	3.9024158376e+10	4.7773596399e+09	0.0000000000e+00	5.6250160608e+10
2.1868582841e-06	9.2000000000e+02	0.0000000000e+00	9.9991484881e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9904421209e-01	9.9923891518e-01	6.2462823199e+10	7.6427362659e+09	0.0000000000e+00	9.0020355287e+10
3.4985349905e-06	9.2000000000e+02	0.0000000000e+00	9.9991954949e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9937548712e-01	9.9949719633e-01	9.9961376402e+10	1.2226933441e+10	0.0000000000e+00	1.4404789772e+11
5.5970324004e-06	9.2000000000e+02	0.0000000000e+00	9.9992241007e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9958257979e-01	9.9965866115e-01	1.5995376650e+11	1.9560999773e+10	0.0000000000e+00	2.3048433839e+11
8.9543317784e-06	9.2000000000e+02	0.0000000000e+00	9.9992407633e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9971205668e-01	9.9975961701e-01	2.5593312261e+11	3.1294465998e+10	0.0000000000e+00	3.6877044741e+11
1.4325536468e-05	9.2000000000e+02	0.0000000000e+00	9.9992492770e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9979303821e-01	9.9982277077e-01	4.0948655370e+11	5.0066344850e+10	0.0000000000e+00	5.9000872726e+11
2.2918705145e-05	9.2000000000e+02	0.0000000000e+00	9.9992516317e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9984374362e-01	9.9986233247e-01	6.5515040821e+11	8.0098675393e+10	0.0000000000e+00	9.4395883352e+11
3.6666561035e-05	9.2000000000e+02	0.0000000000e+00	9.9992484478e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9987558554e-01	9.9988720855e-01	1.0481780273e+12	1.2814610214e+11	0.0000000000e+00	1.5102293047e+12
5.8661188294e-05	9.2000000000e+02	0.0000000000e+00	9.9992390492e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9989572932e-01	9.9990299777e-01	1.6769671043e+12	2.0501504607e+11	0.0000000000e+00	2.4161828505e+12
9.3849484855e-05	9.2000000000e+02	0.0000000000e+00	9.9992211385e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9990868709e-01	9.9991323293e-01	2.6829417990e+12	3.2799410430e+11	0.0000000000e+00	3.8655824913e+12
1.5014578885e-04	9.2000000000e+02	0.0000000000e+00	9.9991900126e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9991730573e-01	9.9992014865e-01	4.2923614695e+12	5.2474218363e+11	0.0000000000e+00	6.1844217406e+12
2.4021192400e-04	9.2000000000e+02	0.0000000000e+00	9.9991373032e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9992338690e-01	9.9992516364e-01	6.8672104568e+12	8.3950853756e+11	0.0000000000e+00	9.8942473279e+12
3.8430502162e-04	9.2000000000e+02	0.0000000000e+00	9.9990492145e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9992810426e-01	9.9992921185e-01	1.0986615432e+13	1.3430828639e+12	0.0000000000e+00	1.5829467646e+13
6.1483363555e-04	9.2000000000e+02	0.0000000000e+00	9.9989039203e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9993231743e-01	9.9993300253e-01	1.7577104371e+13	2.1487113406e+12	0.0000000000e+00	2.5325036636e+13
9.8364688773e-04	9.2000000000e+02	0.0000000000e+00	9.9986668876e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9993678857e-01	9.9993720297e-01	2.8121009090e+13	3.4375530399e+12	0.0000000000e+00	4.0516738708e+13
1.5736960851e-03	9.2000000000e+02	0.0000000000e+00	9.9982811028e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9994215314e-01	9.9994238794e-01	4.4989887175e+13	5.4993875256e+12	0.0000000000e+00	6.4821632528e+13
2.5176916945e-03	9.2000000000e+02	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	7.5647129485e+13	9.2462474465e+12	0.0000000000e+00	1.0899326095e+14
4.0279519564e-03	9.2000000000e+02	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.2088017818e+14	1.4773458101e+13	0.0000000000e+00	1.7416709481e+14
6.4441566818e-03	9.2000000000e+02	0.0000000000e+00	9.9948392421e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9995561018e-01	9.9995550243e-01	1.8423244321e+14	2.2511796673e+13	0.0000000000e+00	2.6545082937e+14
1.0309747171e-02	9.2000000000e+02	0.0000000000e+00	9.9920142130e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	9.9995634630e-01	9.9995610610e-01	2.9474634189e+14	3.6005544241e+13	0.0000000000e+00	4.2469459474e+14
