#p(bar)         	T(K)            	n_<tot>(cm-3)   	n_g(cm-3)       	m(u)            	e-              	C               	H               	He              	N               	O               	Si              	C1H1            	C1H1N1          	C1H1N1O1        	C1H1O1          	C1H2            	C1H2O1          	C1H3            	C1H4            	C1H4O2          	C1N1            	C1N1O1          	C1N2_cnn        	C1N2_ncn        	C1O1            	C1O2            	C1Si1           	C1Si2           	C2              	C2H2O2          	C2H2O4          	C2H4O1          	C2H4O3          	C2H6O2          	C2N1            	C2N1O1          	C2Si1           	C2Si2           	C2O1            	C3              	C3N2O1          	C4              	C4H6O4          	C5              	H1N1            	H1N1O1          	H1N1O2_cis      	H1N1O2_trans    	H1N1O3          	H1O1            	H1O2            	H1Si1           	H2              	H2N1            	H2N2            	H2O1            	H2O2            	H2Si1           	H3N1            	H3Si1           	H4N2            	H4Si1           	N1O1            	N1O2            	N1O3            	N1Si1           	N1Si2           	N2              	N2O1            	N2O3            	N2O4            	N2O5            	N3              	O1Si1           	O2              	O2Si1           	O3              	Si2             	Si3             	C1+             	C1-             	C1H1+           	C1H1-           	C1H1O1+         	C1N1+           	C1N1-           	C1O2-           	C2-             	H1+             	H1-             	H1O1+           	H1O1-           	H1Si1+          	H2+             	H2-             	H3O1+           	He1+            	N1+             	N1-             	N1O1+           	N1O2-           	N2+             	N2-             	N2O1+           	O1+             	O1-             	O2+             	O2-             	Si1+            	Si1-            
2.9239606870e-07	9.2000000000e+02	5.2980661059e+12	2.3019740267e+12	2.6032302811e+00	1.1679886004e-26	9.1985310296e-27	3.9323537255e-07	7.1578063030e-02	4.7158388146e-23	2.1063715978e-24	1.0424009761e-15	2.4174269939e-25	1.4800481219e-08	6.7789776497e-18	1.1137777294e-16	7.7246255602e-20	7.2455550965e-15	4.8711434920e-13	5.8728198494e-08	8.7005959906e-49	9.3443582624e-19	3.6695892876e-26	7.5404461830e-36	9.3298103759e-30	1.6959635486e-02	2.9982380881e-10	8.7827467906e-29	7.6272441485e-22	1.1006012924e-31	2.2133581155e-31	1.2756892465e-48	2.9130448991e-31	4.3472741577e-46	5.9923563927e-62	2.7274477541e-24	6.9339824228e-27	4.5779905371e-22	2.3580168282e-28	2.1372513449e-23	2.4584589512e-29	9.3716560239e-38	1.8315504582e-38	3.1557352997e-86	1.7104934164e-38	5.6863401012e-22	5.9036877053e-30	4.6715663516e-43	6.2232369779e-43	1.6111387784e-63	3.8988019152e-18	1.9655105314e-38	8.3678739057e-17	9.1131184513e-01	1.3213095084e-18	5.9116129258e-29	7.6906256243e-09	3.9843265224e-37	7.9535977586e-18	3.3556336356e-12	1.7640482209e-16	8.8393488874e-35	1.5249094160e-17	4.3259955272e-23	5.0814324808e-43	4.2636757039e-69	5.1199149422e-19	4.3467230157e-23	1.5910536460e-04	2.4783839504e-32	5.7343159086e-77	1.4411011177e-97	6.1293879751e-120	2.4119067625e-36	6.4978254124e-07	1.0403309064e-32	6.3207880757e-19	1.1191745148e-63	2.7121841807e-25	1.1290232382e-30	6.1909134282e-55	7.0771145856e-54	1.6273339787e-50	1.5690348949e-50	1.6672618710e-28	9.1899259831e-62	6.7272850274e-32	3.2429598503e-40	1.0743037670e-43	3.1384200041e-48	5.3168066598e-37	1.0389952283e-56	2.0329901161e-42	3.9362906894e-27	5.9878175128e-51	1.8675423651e-47	2.9429945690e-28	1.4388668111e-102	1.1061160212e-68	8.3489605845e-57	8.2562483991e-41	7.8889401958e-64	7.3349221520e-56	2.5110413507e-46	1.5727193472e-68	1.3071102968e-65	2.9064098047e-50	4.2430082378e-65	9.9958833223e-64	7.2826369451e-27	4.4737402394e-42
4.3828773664e-07	9.2000000000e+02	7.9871201377e+12	3.4505490804e+12	2.4573120765e+00	8.1778270291e-27	6.1366405811e-27	3.2210805105e-07	7.1988935109e-02	3.8628510325e-23	1.4052293116e-24	6.9541974810e-16	1.9801695166e-25	1.4885438647e-08	6.8178902022e-18	9.1232070856e-17	7.7689662242e-20	7.2871458147e-15	6.0152476597e-13	8.9044287251e-08	1.3191931449e-48	7.6541767820e-19	3.0058442041e-26	7.5837297780e-36	9.3833652616e-30	1.1314326932e-02	2.0002225860e-10	5.8592573309e-29	5.0883837661e-22	7.3424708065e-32	2.2260631674e-31	1.2830119197e-48	4.4167880749e-31	6.5913809513e-46	1.3697162385e-61	2.2341146055e-24	5.6797830066e-27	3.0541270578e-22	1.5731100664e-28	1.4258301997e-23	1.6401182883e-29	9.4254511116e-38	1.2218871504e-38	7.2132924032e-86	1.1411260428e-38	5.7189807174e-22	5.9375759360e-30	4.6983819837e-43	6.2589594789e-43	1.6203870052e-63	3.1935974585e-18	1.6099944481e-38	6.8543161256e-17	9.1654293006e-01	1.6316505602e-18	8.9632473587e-29	7.7347711229e-09	4.0071972340e-37	7.9992527620e-18	5.0878456350e-12	2.1783769971e-16	2.0204739435e-34	2.3120830462e-17	3.5435215125e-23	4.1623171352e-43	3.4924739251e-69	4.1938389963e-19	3.5604998706e-23	1.6001865965e-04	2.4926103456e-32	5.7672319724e-77	1.4493733122e-97	6.1645718277e-120	2.9784006504e-36	4.3349116274e-07	6.9403873702e-33	4.2168042359e-19	7.4663788410e-64	1.8093866785e-25	7.5320828925e-31	3.9353180233e-55	4.9551356005e-54	1.2701019694e-50	1.3488657023e-50	1.3012648992e-28	7.1725554552e-62	5.7833029483e-32	2.2706013321e-40	7.5218802481e-44	2.4494747115e-48	4.5707448395e-37	8.1091521648e-57	1.7477180715e-42	3.0721969934e-27	5.7380885534e-51	1.9712575309e-47	3.4627803471e-28	1.3788572164e-102	8.6330167582e-69	7.1774227147e-57	6.4438385689e-41	6.7819530327e-64	7.0290107528e-56	2.6504936994e-46	1.5071272705e-68	8.3087815219e-66	2.0349613559e-50	2.6971119827e-65	6.9987502265e-64	4.6292833456e-27	3.1323485384e-42
6.6890544475e-07	9.2000000000e+02	1.2238305977e+13	5.2661547982e+12	2.3565354154e+00	5.6987873687e-27	4.0209185498e-27	2.6125140916e-07	7.2274536392e-02	3.1330334749e-23	9.2075012883e-25	4.5566073620e-16	1.6060513697e-25	1.4944492977e-08	6.8449385111e-18	7.3995378239e-17	7.7997874554e-20	7.3160555563e-15	7.4754186751e-13	1.3697791260e-07	2.0293308969e-48	6.2080551072e-19	2.4379429682e-26	7.6138166007e-36	9.4205917524e-30	7.4135003411e-03	1.3106083033e-10	3.8391683819e-29	3.3340679486e-22	4.8110161703e-32	2.2348944592e-31	1.2881019157e-48	6.7943989401e-31	1.0139601672e-45	3.2284943677e-61	1.8120180631e-24	4.6066882052e-27	2.0011594256e-22	1.0307508421e-28	9.3424847409e-24	1.0746567217e-29	9.4628445690e-38	8.0061861926e-39	1.7002115651e-85	7.4770141943e-39	5.7416693721e-22	5.9611318136e-30	4.7170216630e-43	6.2837903671e-43	1.6268154936e-63	2.5902234781e-18	1.3058143593e-38	5.5593138414e-17	9.2017906140e-01	2.0277255621e-18	1.3788273525e-28	7.7654566945e-09	4.0230946841e-37	8.0309875916e-18	7.8266952049e-12	2.7071670206e-16	4.7623653443e-34	3.5567055362e-17	2.8740356344e-23	3.3759207404e-43	2.8326325881e-69	3.4014871019e-19	2.8878062312e-23	1.6065349939e-04	2.5024992429e-32	5.7901122293e-77	1.4551233902e-97	6.1890284453e-120	3.7013927185e-36	2.8403694731e-07	4.5475585462e-33	2.7629818219e-19	4.8922045840e-64	1.1855666570e-25	4.9352559304e-31	2.4245127850e-55	3.4530278097e-54	9.6860277030e-51	1.1635249961e-50	9.9236818510e-29	5.4699208914e-62	4.9886491551e-32	1.5822875854e-40	5.2416853487e-44	1.8680137883e-48	3.9427022737e-37	6.1841863417e-57	1.5075731103e-42	2.3429130813e-27	5.4167256168e-51	2.1048097392e-47	4.0462900236e-28	1.3016340994e-102	6.5836951721e-69	6.1912101236e-57	4.9141881759e-41	5.8500798883e-64	6.6353498349e-56	2.8300641627e-46	1.4227203568e-68	5.1189629169e-66	1.4180798913e-50	1.6616655747e-65	4.8771378049e-64	2.8520583572e-27	2.1828033549e-42
1.0356212199e-06	9.2000000000e+02	1.8997751186e+13	8.1532325669e+12	2.2886780146e+00	3.9843302718e-27	2.5971023567e-27	2.1023902907e-07	7.2465448495e-02	2.5212723576e-23	5.9471046227e-25	2.9431025702e-16	1.2924511362e-25	1.4983967508e-08	6.8630187990e-18	5.9546918911e-17	7.8203894099e-20	7.3353798064e-15	9.3383907403e-13	2.1319547099e-07	3.1584957613e-48	4.9958603576e-19	1.9619063328e-26	7.6339282802e-36	9.4454759770e-30	4.7883633972e-03	8.4651899087e-11	2.4797103271e-29	2.1534670796e-22	3.1074246542e-32	2.2407975936e-31	1.2915042414e-48	1.0574953688e-30	1.5781501652e-45	7.8002636838e-61	1.4582005237e-24	3.7071789130e-27	1.2925444263e-22	6.6575967857e-29	6.0342901348e-24	6.9411838862e-30	9.4878404032e-38	5.1711778718e-39	4.1078276793e-85	4.8293868539e-39	5.7568354741e-22	5.9768776059e-30	4.7294812505e-43	6.3003884328e-43	1.6311125800e-63	2.0844521790e-18	1.0508388985e-38	4.4737930718e-17	9.2260957470e-01	2.5330614379e-18	2.1460378348e-28	7.7859679695e-09	4.0337210779e-37	8.0522002261e-18	1.2181643313e-11	3.3818284349e-16	1.1506202515e-33	5.5357356347e-17	2.3128468488e-23	2.7167330680e-43	2.2795282275e-69	2.7373073009e-19	2.3239285770e-23	1.6107786103e-04	2.5091095234e-32	5.8054066457e-77	1.4589670571e-97	6.2053765875e-120	4.6238290278e-36	1.8345883313e-07	2.9372579602e-33	1.7846038193e-19	3.1598640702e-64	7.6575486942e-26	3.1876708392e-31	1.4467023320e-55	2.4141983795e-54	7.2009752768e-51	1.0135367624e-50	7.3776567500e-29	4.0665553243e-62	4.3455702639e-32	1.1062627743e-40	3.6647455427e-44	1.3887551758e-48	3.4344545335e-37	4.5975682002e-57	1.3132341587e-42	1.7418140534e-27	5.0173380146e-51	2.2843757582e-47	4.6696511924e-28	1.2056617966e-102	4.8945791333e-69	5.3931109955e-57	3.6534016648e-41	5.0959553206e-64	6.1461110303e-56	3.0715036338e-46	1.3178200841e-68	3.0544757839e-66	9.9145629984e-51	9.9151280075e-66	3.4098706508e-64	1.7018179908e-27	1.5261158069e-42
1.6206347565e-06	9.2000000000e+02	2.9780964535e+13	1.2758923651e+13	2.2439998225e+00	2.8210626913e-27	1.6596054725e-27	1.6820838270e-07	7.2591184397e-02	2.0172238890e-23	3.8003305307e-25	1.8807072117e-16	1.0340663972e-25	1.5009964460e-08	6.8749260307e-18	4.7642395274e-17	7.8339568112e-20	7.3481057764e-15	1.1712330987e-12	3.3478637168e-07	4.9598677260e-48	3.9970964776e-19	1.5696853656e-26	7.6471738613e-36	9.4618647631e-30	3.0598694264e-03	5.4094423588e-11	1.5845893861e-29	1.3761127824e-22	1.9857126340e-32	2.2446850983e-31	1.2937448403e-48	1.6606123759e-30	2.4782100920e-45	1.9201540923e-60	1.1666795626e-24	2.9660460290e-27	8.2596428974e-23	4.2543506346e-29	3.8560439887e-24	4.4355690231e-30	9.5043026955e-38	3.3044962873e-39	1.0112045501e-84	3.0860843166e-39	5.7668234948e-22	5.9872473963e-30	4.7376868274e-43	6.3113195095e-43	1.6339425352e-63	1.6677318736e-18	8.4075688697e-39	3.5793996029e-17	9.2421018736e-01	3.1769989101e-18	3.3699795472e-28	7.7994756538e-09	4.0407190814e-37	8.0661697903e-18	1.9129152188e-11	4.2415331584e-16	2.8324281789e-33	8.6929090899e-17	1.8504664524e-23	2.1736084276e-43	1.8238088330e-69	2.1900694950e-19	1.8593327404e-23	1.6135734622e-04	2.5134630636e-32	5.8154795704e-77	1.4614985017e-97	6.2161434975e-120	5.7992683335e-36	1.1723422554e-07	1.8769723774e-33	1.1404010540e-19	2.0192225731e-64	4.8933418762e-26	2.0369917095e-31	8.3435977645e-56	1.7093474968e-54	5.1997683768e-51	8.9849447952e-51	5.3273486978e-29	2.9364283683e-62	3.8523233324e-32	7.8327759646e-41	2.5947841210e-44	1.0028093375e-48	3.0446240858e-37	3.3198683259e-57	1.1641744885e-42	1.2577504136e-27	4.5361200499e-51	2.5354902867e-47	5.2858413267e-28	1.0900258149e-102	3.5343380014e-69	4.7809622352e-57	2.6380932838e-41	4.5175354189e-64	5.5566325147e-56	3.4091454957e-46	1.1914268864e-68	1.7616144495e-66	7.0199009276e-51	5.7183732996e-66	2.4143226634e-64	9.8149318416e-28	1.0805500727e-42
2.5553825393e-06	9.2000000000e+02	4.7010646683e+13	2.0118000423e+13	2.2150705242e+00	2.0425789593e-27	1.0525290321e-27	1.3403112185e-07	7.2672628036e-02	1.6073564590e-23	2.4101862048e-25	1.1927527199e-16	8.2396059613e-26	1.5026801614e-08	6.8826378536e-18	3.7962220334e-17	7.8427429729e-20	7.3563470327e-15	1.4731905967e-12	5.2906881506e-07	7.8381665522e-48	3.1849508006e-19	1.2507505610e-26	7.6557533412e-36	9.4724801722e-30	1.9405825416e-03	3.4306919473e-11	1.0049535028e-29	8.7273673108e-23	1.2593476169e-32	2.2472026212e-31	1.2951958378e-48	2.6242950618e-30	3.9163591705e-45	4.7900280751e-60	9.2962905144e-25	2.3633932099e-27	5.2383015654e-23	2.6981277358e-29	2.4455199230e-24	2.8130572285e-30	9.5149657164e-38	2.0957259641e-39	2.5225570197e-84	1.9572081393e-39	5.7732923238e-22	5.9939634818e-30	4.7430012412e-43	6.3183991170e-43	1.6357753804e-63	1.3288753531e-18	6.6992849555e-39	2.8521226862e-17	9.2524673382e-01	3.9960668652e-18	5.3256401388e-28	7.8082231433e-09	4.0452509434e-37	8.0752163901e-18	3.0230142535e-11	5.3350496765e-16	7.0657951473e-33	1.3737557740e-16	1.4744814497e-23	1.7319661761e-43	1.4532402296e-69	1.7450826195e-19	1.4815462507e-23	1.6153837546e-04	2.5162829558e-32	5.8220040448e-77	1.4631381790e-97	6.2231174829e-120	7.2943910824e-36	7.4350457376e-08	1.1903840717e-33	7.2324732441e-20	1.2805997665e-64	3.1033787694e-26	1.2918690303e-31	4.6349568357e-56	1.2376460974e-54	3.6291517248e-51	8.1735424279e-51	3.7181957568e-29	2.0494655256e-62	3.5044326580e-32	5.6712895550e-41	1.8787428811e-44	6.9990564444e-49	2.7696735716e-37	2.3170851061e-57	1.0590415180e-42	8.7784046369e-28	3.9777222844e-51	2.8979150559e-47	5.8236173674e-28	9.5584368665e-103	2.4667735702e-69	4.3492092298e-57	1.8412440422e-41	4.1095716245e-64	4.8726111376e-56	3.8964525836e-46	1.0447622550e-68	9.7859546506e-67	5.0827306931e-51	3.1766168699e-66	1.7480804973e-64	5.4522984826e-28	7.8236788189e-43
4.0500387910e-06	9.2000000000e+02	7.4573027919e+13	3.1885121252e+13	2.1967788823e+00	1.5252611975e-27	6.6409593825e-28	1.0650776094e-07	7.2732014165e-02	1.2772853539e-23	1.5207132727e-25	7.5257043978e-17	6.5475985719e-26	1.5039075773e-08	6.8882597147e-18	3.0166658553e-17	7.8491467076e-20	7.3623536168e-15	1.8569160261e-12	8.3989375484e-07	1.2443045119e-47	2.5309202496e-19	9.9390857830e-27	7.6620089981e-36	9.4802203099e-30	1.2244156164e-03	2.1646040328e-11	6.3407803393e-30	5.5065551692e-23	7.9458866376e-33	2.2490375009e-31	1.2962533875e-48	4.1660535842e-30	6.2171980569e-45	1.2061684696e-59	7.3872946185e-25	1.8780697434e-27	3.3051200363e-23	1.7023907327e-29	1.5430071743e-24	1.7749057959e-30	9.5227405698e-38	1.3223037636e-39	6.3520060680e-84	1.2349055807e-39	5.7780080518e-22	5.9988594579e-30	4.7468754091e-43	6.3235600979e-43	1.6371115109e-63	1.0559901050e-18	5.3235832894e-39	2.2664378023e-17	9.2600221372e-01	5.0369333395e-18	8.4544287105e-28	7.8145986920e-09	4.0485539605e-37	8.0818099434e-18	4.7990194897e-11	6.7246826490e-16	1.7792264063e-32	2.1808295300e-16	1.1716962655e-23	1.3763064302e-43	1.1548169359e-69	1.3867294082e-19	1.1773103076e-23	1.6167037144e-04	2.5183390568e-32	5.8267613114e-77	1.4643337361e-97	6.2282025066e-120	9.1943866164e-36	4.6911615017e-08	7.5107593504e-34	4.5633478586e-20	8.0799776297e-65	1.9580849294e-26	8.1510813438e-32	2.4710060323e-56	9.2419123492e-55	2.4367563075e-51	7.6869587755e-51	2.4965439998e-29	1.3760927966e-62	3.2958093387e-32	4.2349393000e-41	1.4029193862e-44	4.6994439006e-49	2.6047906100e-37	1.5557827767e-57	9.9599513458e-43	5.8941688006e-28	3.3637235371e-51	3.4324857580e-47	6.2023680006e-28	8.0830077724e-103	1.6562900417e-69	4.0902952901e-57	1.2362845979e-41	3.8649236153e-64	4.1204803764e-56	4.6152236265e-46	8.8349393128e-69	5.2171258181e-67	3.7954429508e-51	1.6935302153e-66	1.3053494669e-64	2.9067503578e-28	5.8421994821e-43
6.4407511740e-06	9.2000000000e+02	1.1867666341e+14	5.0706707450e+13	2.1853688561e+00	1.1804820819e-27	4.1759326485e-28	8.4483977468e-08	7.2776239044e-02	1.0131674781e-23	9.5624680692e-26	4.7322732888e-17	5.1936794588e-26	1.5048211679e-08	6.8924441802e-18	2.3928766119e-17	7.8539110700e-20	7.3668225000e-15	2.3438306708e-12	1.3372997282e-06	1.9812125949e-47	2.0075749548e-19	7.8838753195e-27	7.6666672288e-36	9.4859839489e-30	7.6993049550e-04	1.3611347595e-11	3.9871756641e-30	3.4626026433e-23	4.9964900431e-33	2.2504026467e-31	1.2970402018e-48	6.6332941441e-30	9.8991773942e-45	3.0559992767e-59	5.8597451508e-25	1.4897212904e-27	2.0783079480e-23	1.0704882581e-29	9.7026553920e-25	1.1160867932e-30	9.5285300596e-38	8.3148399795e-40	1.6093710322e-83	7.7652673887e-40	5.7815180640e-22	6.0025036325e-30	4.7497590310e-43	6.3274015209e-43	1.6381060199e-63	8.3763139370e-19	4.2227673053e-39	1.7977814812e-17	9.2656428884e-01	6.3577051548e-18	1.3461364787e-27	7.8193420840e-09	4.0510113968e-37	8.0867155303e-18	7.6411219206e-11	8.4880076550e-16	4.5079274067e-32	3.4723710241e-16	9.2941216840e-24	1.0917129134e-43	9.1602315731e-70	1.0999806215e-19	9.3386533527e-24	1.6176866131e-04	2.5198701180e-32	5.8303037764e-77	1.4652239992e-97	6.2319890337e-120	1.1605326519e-35	2.9498711476e-08	4.7228756238e-34	2.8695000544e-20	5.0808084254e-65	1.2312725187e-26	5.1255194836e-32	1.2624202468e-56	7.1528154973e-55	1.5704086551e-51	7.5048180100e-51	1.6089398407e-29	8.8684661767e-63	3.2177174404e-32	3.2776484249e-41	1.0857951415e-44	3.0286357947e-49	2.5430706803e-37	1.0026504212e-57	9.7239525307e-43	3.7985963844e-28	2.7345842687e-51	4.2273167732e-47	6.3606131536e-28	6.5711968000e-103	1.0674245407e-69	3.9933786026e-57	7.9674482481e-42	3.7733469521e-64	3.3498031736e-56	5.6839365423e-46	7.1824896724e-69	2.6653942471e-67	2.9374984453e-51	8.6521311743e-67	1.0102805073e-64	1.4850390716e-28	4.5215939531e-43
1.0265232490e-05	9.2000000000e+02	1.8920623107e+14	8.0816061158e+13	2.1780053991e+00	9.4675791333e-28	2.6201202101e-28	6.6930533612e-08	7.2798509660e-02	8.0265980682e-24	5.9998132046e-26	2.9691869882e-17	4.1145758996e-26	1.5052802761e-08	6.8945470063e-18	1.8957027510e-17	7.8563010810e-20	7.3690642860e-15	2.9603330672e-12	2.1326780717e-06	3.1595674234e-47	1.5904574123e-19	6.2458280371e-27	7.6690122674e-36	9.4888854702e-30	4.8308021738e-04	8.5402160237e-12	2.5016877469e-30	2.1725530388e-23	3.1349654421e-33	2.2510874631e-31	1.2974349020e-48	1.0578541718e-29	1.5786856238e-44	7.7698780439e-59	4.6422551182e-25	1.1801991567e-27	1.3040001158e-23	6.7166023873e-30	6.0877714330e-25	7.0027028913e-31	9.5314445947e-38	5.2170094940e-40	4.0918257879e-83	4.8721892172e-40	5.7832819559e-22	6.0043349452e-30	4.7512081420e-43	6.3293319572e-43	1.6386057921e-63	6.6359465819e-19	3.3453925529e-39	1.4242519997e-17	9.2684625013e-01	8.0299911466e-18	2.1467739686e-27	7.8217215754e-09	4.0522441536e-37	8.0891763857e-18	1.2185799172e-10	1.0720625022e-15	1.1461423204e-31	5.5376138826e-16	7.3630649195e-24	8.6488571254e-44	7.2569934033e-70	8.7143562365e-20	7.3983441615e-24	1.6181814223e-04	2.5206408822e-32	5.8320871181e-77	1.4656721740e-97	6.2338952407e-120	1.4657932830e-35	1.8508481006e-08	2.9632905780e-34	1.8004205810e-20	3.1878696233e-65	7.7254167675e-27	3.2159228408e-32	6.1966914198e-57	5.7366263989e-55	9.7330914243e-52	7.5997956266e-51	9.9719003169e-30	5.4965094202e-63	3.2584419825e-32	2.6287053662e-41	8.7081808207e-45	1.8770903347e-49	2.5752546442e-37	6.2142348643e-58	9.8470145202e-43	2.3542971297e-28	2.1399894762e-51	5.4051623747e-47	6.2849454627e-28	5.1423962866e-103	6.6156976035e-70	4.0439201800e-57	4.9380753648e-42	3.8211037330e-64	2.6214422590e-56	7.2676474676e-46	5.6207726175e-69	1.3083302255e-67	2.3559018312e-51	4.2469682457e-67	8.1025462359e-65	7.2894338444e-29	3.6263615700e-43
1.6383709867e-05	9.2000000000e+02	3.0204866731e+14	1.2898557338e+14	2.1734189140e+00	7.8322845731e-28	1.6416393678e-28	5.2984309099e-08	7.2813702023e-02	6.3541146975e-24	3.7591899481e-26	1.8603475641e-17	3.2572272998e-26	1.5055921844e-08	6.8959756219e-18	1.5006977398e-17	7.8579191095e-20	7.3705819665e-15	3.7410753731e-12	3.4052392636e-06	5.0448697293e-47	1.2590575401e-19	4.9443995316e-27	7.6706109961e-36	9.4908635808e-30	3.0267447258e-04	5.3508822918e-12	1.5674353702e-30	1.3612156356e-23	1.9642162473e-33	2.2515510812e-31	1.2977021125e-48	1.6890718805e-29	2.5206815518e-44	1.9804752743e-58	3.6749593322e-25	9.3428383278e-28	8.1702279061e-24	4.2082950449e-30	3.8143002785e-25	4.3875516487e-31	9.5334315774e-38	3.2687233719e-40	1.0429712994e-82	3.0526758260e-40	5.7844803069e-22	6.0055791005e-30	4.7521926375e-43	6.3306434550e-43	1.6389453268e-63	5.2532233927e-19	2.6483176439e-39	1.1274825422e-17	9.2703713685e-01	1.0147790530e-17	3.4277547431e-27	7.8233324821e-09	4.0530787253e-37	8.0908423754e-18	1.9457045337e-10	1.3548024949e-15	2.9214258150e-31	8.8418877983e-16	5.8288403911e-24	6.8467150977e-44	5.7448707474e-70	6.8985663130e-20	5.8567685804e-24	1.6185187582e-04	2.5211663503e-32	5.8333029103e-77	1.4659777169e-97	6.2351947962e-120	1.8523806936e-35	1.1596510321e-08	1.8566531614e-34	1.1280556110e-20	1.9973634236e-65	4.8403688692e-27	2.0149401997e-32	2.9405152612e-57	4.7457633903e-55	5.8355368721e-52	7.9436092883e-51	5.9787162627e-30	3.2954713243e-63	3.4058577081e-32	2.1746603009e-41	7.2040538918e-45	1.1254214497e-49	2.6917587941e-37	3.7257840394e-58	1.0292492042e-42	1.4115338190e-28	1.6210936300e-51	7.1382401284e-47	6.0153987602e-28	3.8954998484e-103	3.9664885613e-70	4.2268718578e-57	2.9606582137e-42	3.9939749342e-64	1.9858107118e-56	9.5979250102e-46	4.2578814902e-69	6.2084179024e-68	1.9489769569e-51	2.0153133494e-67	6.7030279856e-65	3.4590541973e-29	2.9999956040e-43
